Product ID,Work Center,Length,ID,Task,Time(min),,Sum of Time(min),Column Labels,,,,,,,,,,,,,
SK,Assembly,10005,2,Fix back plate with rubber (For Chicago Plenum option),0.93,,,,,,,,,,,,,,,,
SK,Assembly,10008,2,Fix back plate with rubber (For Chicago Plenum option),0.93,,,,,,,,,,,,,,,,
SK,Assembly,10013,2,Fix back plate with rubber (For Chicago Plenum option),0.93,,,,,,,,,,,,,,,,
SK,Assembly,10018,2,Fix back plate with rubber (For Chicago Plenum option),0.93,,,,,,,,,,,,,,,,
SK,Assembly,10023,2,Fix back plate with rubber (For Chicago Plenum option),0.93,,,,,,,,,,,,,,,,
SK,Assembly,10003,1,Fix Chicago Plenum brkt to cover each ceiling brkt,1.12,,,,,,,,,,,,,,,,
SK,Assembly,10005,1,Fix Chicago Plenum brkt to cover each ceiling brkt,0.56,,,,,,,,,,,,,,,,
SK,Assembly,10008,1,Fix Chicago Plenum brkt to cover each ceiling brkt,1.12,,,,,,,,,,,,,,,,
SK,Assembly,10013,1,Fix Chicago Plenum brkt to cover each ceiling brkt,2.24,,,,,,,,,,,,,,,,
SK,Assembly,10018,1,Fix Chicago Plenum brkt to cover each ceiling brkt,2.24,,,,,,,,,,,,,,,,
SK,Assembly,10023,1,Fix Chicago Plenum brkt to cover each ceiling brkt,2.24,,,,,,,,,,,,,,,,
SCR,Assembly,4,1,fix FW for CP with gasket,0.93,,,,,,,,,,,,,,,,
SCR,Assembly,8,1,fix FW for CP with gasket,0.93,,,,,,,,,,,,,,,,
SCR,Assembly,12,1,fix FW for CP with gasket,0.93,,,,,,,,,,,,,,,,
SCRPAT,Assembly,4,1,fix FW for CP with gasket,0.93,,,,,,,,,,,,,,,,
SCRPAT,Assembly,8,1,fix FW for CP with gasket,0.93,,,,,,,,,,,,,,,,
SCRPAT,Assembly,12,1,fix FW for CP with gasket,0.93,,,,,,,,,,,,,,,,
SCRV,Assembly,4,1,fix FW for CP with gasket,0.93,,,,,,,,,,,,,,,,
SCRV,Assembly,8,1,fix FW for CP with gasket,0.93,,,,,,,,,,,,,,,,
SCRV,Assembly,12,1,fix FW for CP with gasket,0.93,,,,,,,,,,,,,,,,
B6R,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
B6R,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
B6R,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
B6RLED,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
B6RLED,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
B6RLED,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
B6RLEDPAT,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
B6RLEDPAT,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
B6RLEDPAT,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
B6RPAT,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
B6RPAT,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
B6RPAT,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
