 Fixture Type , Mounting Suspension , Power/ N Power , Work Center , ID , Task , Total Time (min) ,,,,,,,,,,
 recessed , MFTB15 , - , Mounting Kits , CAD 1.00 ,assembly 2 side bracket on top bracket (4pop rivet),0.80,,,,,,,,,,
 recessed , MFTB15 , - , Mounting Kits , CAD 2.00 ,screwed bolt & nut together,0.20,,,,,,,,,,
 recessed , MFTB15 , - , Mounting Kits , CAD 3.00 ,put in bag,0.20,,,,,,,,,,
 recessed , MFTB9 , - , Mounting Kits , CAD 1.00 ,assembly 2 side bracket on top bracket (4pop rivet),0.80,,,,,,,,,,
 recessed , MFTB9 , - , Mounting Kits , CAD 2.00 ,screwed bolt & nut together,0.20,,,,,,,,,,
 recessed , MFTB9 , - , Mounting Kits , CAD 3.00 ,put in bag,0.20,,,,,,,,,,
 recessed , MFTG15 , - , Mounting Kits , CAD 1.00 ,assembly 2 side bracket on top bracket (4pop rivet),0.80,,,,,,,,,,
 recessed , MFTG15 , - , Mounting Kits , CAD 2.00 ,screwed bolt & nut together,0.20,,,,,,,,,,
 recessed , MFTG15 , - , Mounting Kits , CAD 3.00 ,put in bag,0.20,,,,,,,,,,
 recessed , MFTG9 , - , Mounting Kits , CAD 1.00 ,assembly 2 side bracket on top bracket (4pop rivet),0.80,,,,,,,,,,
 recessed , MFTG9 , - , Mounting Kits , CAD 2.00 ,screwed bolt & nut together,0.20,,,,,,,,,,
 recessed , MFTG9 , - , Mounting Kits , CAD 3.00 ,put in bag,0.20,,,,,,,,,,
 recessed , SB , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , SB , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , SB , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
 recessed , TB15 , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , TB15 , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , TB15 , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
 recessed , TB9 , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , TB9 , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , TB9 , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
 recessed , TG15 , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , TG15 , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , TG15 , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
 recessed , TG9 , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , TG9 , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , TG9 , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
 surface , S , N Power , Mounting Kits , CAD 1.00 , bagging all parts ,0.10,,,,,,,,,,
 surface , S , Power , Mounting Kits , CAD 1.00 , bagging all parts ,0.10,,,,,,,,,,
 surface , SB , N Power , Mounting Kits , CAD 1.00 ,bagging all parts,0.10,,,,,,,,,,
 surface , SB , Power , Mounting Kits , CAD 1.00 ,bagging all parts,0.10,,,,,,,,,,
 surface , SC , N Power , Mounting Kits , CAD 1.00 ,bagging all parts,0.10,,,,,,,,,,
 surface , SC , Power , Mounting Kits , CAD 1.00 ,bagging all parts,0.10,,,,,,,,,,
 wall , - , N Power , Mounting Kits , CAD 1.00 , put in bag ,0.32,,,,,,,,,,
 wall , - , Power , Mounting Kits , CAD 1.00 , put in bag ,0.32,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
