 Section , Fixture Type , Circuit , Kind Of Ballast/Driver , Work Center , Wires Qty , Option , ID , Task , Time (min) ,,Sum of Time (min),Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,1,E,Assembly,3,ewbe1w,4,plug power cord 3 wires to exit wires & screw to housing with plastic clamp,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,1,E,Assembly,3,ewbe1w,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,1,E,Assembly,3,ewbe1w,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,1,E,Assembly,3,ewbe1w,3,plug 3x pc252 connectors for continius row wires,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,1,E,Assembly,3,ewbe1w,4,plug power cord 3 wires to exit wires & screw to housing with plastic clamp,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,1,E,Assembly,3,ewbe1w,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,1,E,Assembly,3,ewbe1w,2,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,1,E,Assembly,3,ewbe1w,3,plug 3x pc252 connectors for continius row wires,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,1,E,Assembly,3,ewbe1w,4,plug power cord 3 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,1,E,Assembly,3,ewbe1w,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,1,E,Assembly,3,ewbe1w,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,1,E,Assembly,3,ewbe1w,3,plug 3x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,1,E,Assembly,3,ewbe1w,4,plug power cord 3 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,2,E,Assembly,3,ewbe2w,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,2,E,Assembly,3,ewbe2w,2,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,2,E,Assembly,3,ewbe2w,3,plug 4x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,2,E,Assembly,3,ewbe2w,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2,E,Assembly,3,ewbe2w,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2,E,Assembly,3,ewbe2w,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2,E,Assembly,3,ewbe2w,3,plug 4x pc252 connectors for continius row wires,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2,E,Assembly,3,ewbe2w,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2,E,Assembly,3,ewbe2w,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2,E,Assembly,3,ewbe2w,2,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2,E,Assembly,3,ewbe2w,3,plug 4x pc252 connectors for continius row wires,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2,E,Assembly,3,ewbe2w,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2,E,Assembly,3,ewbe2w,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2,E,Assembly,3,ewbe2w,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2,E,Assembly,3,ewbe2w,3,plug 4x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2,E,Assembly,3,ewbe2w,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,2A/B,E,Assembly,3,ewbe2w,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,2A/B,E,Assembly,3,ewbe2w,2,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,2A/B,E,Assembly,3,ewbe2w,3,plug 4x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,2A/B,E,Assembly,3,ewbe2w,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2A/B,E,Assembly,3,ewbe2w,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2A/B,E,Assembly,3,ewbe2w,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2A/B,E,Assembly,3,ewbe2w,3,plug 4x pc252 connectors for continius row wires,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2A/B,E,Assembly,3,ewbe2w,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2A/B,E,Assembly,3,ewbe2w,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2A/B,E,Assembly,3,ewbe2w,2,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2A/B,E,Assembly,3,ewbe2w,3,plug 4x pc252 connectors for continius row wires,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2A/B,E,Assembly,3,ewbe2w,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2A/B,E,Assembly,3,ewbe2w,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2A/B,E,Assembly,3,ewbe2w,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2A/B,E,Assembly,3,ewbe2w,3,plug 4x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2A/B,E,Assembly,3,ewbe2w,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid,1,E,Assembly,3,ewbe1r,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid,1,E,Assembly,3,ewbe1r,2,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid,1,E,Assembly,3,ewbe1r,3,plug 3x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid,2,E,Assembly,3,ewbe2r,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid,2,E,Assembly,3,ewbe2r,2,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid,2,E,Assembly,3,ewbe2r,3,plug 4x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid,2A/B,E,Assembly,3,ewbe2r,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid,2A/B,E,Assembly,3,ewbe2r,2,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid,2A/B,E,Assembly,3,ewbe2r,3,plug 4x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid LED,1,E,Assembly,3,ewbe1r,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid LED,1,E,Assembly,3,ewbe1r,2,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid LED,1,E,Assembly,3,ewbe1r,3,plug 3x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid LED,2,E,Assembly,3,ewbe2r,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid LED,2,E,Assembly,3,ewbe2r,2,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid LED,2,E,Assembly,3,ewbe2r,3,plug 4x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid LED,2A/B,E,Assembly,3,ewbe2r,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid LED,2A/B,E,Assembly,3,ewbe2r,2,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Grid LED,2A/B,E,Assembly,3,ewbe2r,3,plug 4x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,pendant,1,ERS,Assembly,3,ewbers1p,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,pendant,1,ERS,Assembly,3,ewbers1p,2,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,pendant,1,ERS,Assembly,3,ewbers1p,3,plug 3x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,pendant,1,ERS,Assembly,3,ewbers1p,4,plug power cord 3 wires to exit wires & screw to housing with plastic clamp,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,pendant,1,ERS,Assembly,3,ewbers1p,5,turn power cord,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,1,ERS,Assembly,3,ewbers1p,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,1,ERS,Assembly,3,ewbers1p,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,1,ERS,Assembly,3,ewbers1p,3,plug 3x pc252 connectors for continius row wires,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,1,ERS,Assembly,3,ewbers1p,4,plug power cord 3 wires to exit wires & screw to housing with plastic clamp,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,1,ERS,Assembly,3,ewbers1p,5,turn power cord,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,1,ERS,Assembly,3,ewbers1p,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,1,ERS,Assembly,3,ewbers1p,2,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,1,ERS,Assembly,3,ewbers1p,3,plug 3x pc252 connectors for continius row wires,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,1,ERS,Assembly,3,ewbers1p,4,plug power cord 3 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,1,ERS,Assembly,3,ewbers1p,5,turn power cord,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,1,ERS,Assembly,3,ewbers1p,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,1,ERS,Assembly,3,ewbers1p,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,1,ERS,Assembly,3,ewbers1p,3,plug 3x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,1,ERS,Assembly,3,ewbers1p,4,plug power cord 3 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,1,ERS,Assembly,3,ewbers1p,5,turn power cord,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,pendant,2,ERS,Assembly,3,ewbers2p,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,pendant,2,ERS,Assembly,3,ewbers2p,2,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,pendant,2,ERS,Assembly,3,ewbers2p,3,plug 4x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,pendant,2,ERS,Assembly,3,ewbers2p,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,pendant,2,ERS,Assembly,3,ewbers2p,5,turn power cord,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,2,ERS,Assembly,3,ewbers2p,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,2,ERS,Assembly,3,ewbers2p,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,2,ERS,Assembly,3,ewbers2p,3,plug 4x pc252 connectors for continius row wires,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,2,ERS,Assembly,3,ewbers2p,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,2,ERS,Assembly,3,ewbers2p,5,turn power cord,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,2,ERS,Assembly,3,ewbers2p,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,2,ERS,Assembly,3,ewbers2p,2,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,2,ERS,Assembly,3,ewbers2p,3,plug 4x pc252 connectors for continius row wires,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,2,ERS,Assembly,3,ewbers2p,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,2,ERS,Assembly,3,ewbers2p,5,turn power cord,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,2,ERS,Assembly,3,ewbers2p,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,2,ERS,Assembly,3,ewbers2p,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,2,ERS,Assembly,3,ewbers2p,3,plug 4x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,2,ERS,Assembly,3,ewbers2p,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,2,ERS,Assembly,3,ewbers2p,5,turn power cord,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,pendant,2A/B,ERS,Assembly,3,ewbers2p,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,pendant,2A/B,ERS,Assembly,3,ewbers2p,2,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,pendant,2A/B,ERS,Assembly,3,ewbers2p,3,plug 4x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,pendant,2A/B,ERS,Assembly,3,ewbers2p,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,pendant,2A/B,ERS,Assembly,3,ewbers2p,5,turn power cord,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,2A/B,ERS,Assembly,3,ewbers2p,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,2A/B,ERS,Assembly,3,ewbers2p,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,2A/B,ERS,Assembly,3,ewbers2p,3,plug 4x pc252 connectors for continius row wires,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,2A/B,ERS,Assembly,3,ewbers2p,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,2A/B,ERS,Assembly,3,ewbers2p,5,turn power cord,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,2A/B,ERS,Assembly,3,ewbers2p,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,2A/B,ERS,Assembly,3,ewbers2p,2,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,2A/B,ERS,Assembly,3,ewbers2p,3,plug 4x pc252 connectors for continius row wires,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,2A/B,ERS,Assembly,3,ewbers2p,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,2A/B,ERS,Assembly,3,ewbers2p,5,turn power cord,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,2A/B,ERS,Assembly,3,ewbers2p,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,2A/B,ERS,Assembly,3,ewbers2p,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,2A/B,ERS,Assembly,3,ewbers2p,3,plug 4x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,2A/B,ERS,Assembly,3,ewbers2p,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,2A/B,ERS,Assembly,3,ewbers2p,5,turn power cord,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,recessed,1,ERS,Assembly,3,ewbers1r,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,recessed,1,ERS,Assembly,3,ewbers1r,2,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,recessed,1,ERS,Assembly,3,ewbers1r,3,plug 3x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,recessed,1,ERS,Assembly,3,ewbers1r,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,recessed,1,ERS,Assembly,3,ewbers1r,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,recessed,1,ERS,Assembly,3,ewbers1r,3,plug 3x pc252 connectors for continius row wires,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,recessed,1,ERS,Assembly,3,ewbers1r,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,recessed,1,ERS,Assembly,3,ewbers1r,2,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,recessed,1,ERS,Assembly,3,ewbers1r,3,plug 3x pc252 connectors for continius row wires,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,recessed,1,ERS,Assembly,3,ewbers1r,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,recessed,1,ERS,Assembly,3,ewbers1r,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,recessed,1,ERS,Assembly,3,ewbers1r,3,plug 3x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,recessed,2,ERS,Assembly,3,ewbers2r,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,recessed,2,ERS,Assembly,3,ewbers2r,2,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,recessed,2,ERS,Assembly,3,ewbers2r,3,plug 4x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,recessed,2,ERS,Assembly,3,ewbers2r,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,recessed,2,ERS,Assembly,3,ewbers2r,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,recessed,2,ERS,Assembly,3,ewbers2r,3,plug 4x pc252 connectors for continius row wires,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,recessed,2,ERS,Assembly,3,ewbers2r,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,recessed,2,ERS,Assembly,3,ewbers2r,2,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,recessed,2,ERS,Assembly,3,ewbers2r,3,plug 4x pc252 connectors for continius row wires,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,recessed,2,ERS,Assembly,3,ewbers2r,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,recessed,2,ERS,Assembly,3,ewbers2r,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,recessed,2,ERS,Assembly,3,ewbe2r,3,plug 4x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,recessed,2A/B,ERS,Assembly,3,ewbers2r,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,recessed,2A/B,ERS,Assembly,3,ewbers2r,2,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,recessed,2A/B,ERS,Assembly,3,ewbers2r,3,plug 4x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,recessed,2A/B,ERS,Assembly,3,ewbers2r,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,recessed,2A/B,ERS,Assembly,3,ewbers2r,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,recessed,2A/B,ERS,Assembly,3,ewbers2r,3,plug 4x pc252 connectors for continius row wires,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,recessed,2A/B,ERS,Assembly,3,ewbers2r,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,recessed,2A/B,ERS,Assembly,3,ewbers2r,2,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,recessed,2A/B,ERS,Assembly,3,ewbers2r,3,plug 4x pc252 connectors for continius row wires,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,recessed,2A/B,ERS,Assembly,3,ewbers2r,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,recessed,2A/B,ERS,Assembly,3,ewbers2r,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,recessed,2A/B,ERS,Assembly,3,ewbe2r,3,plug 4x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,surface,1,ERS,Assembly,3,ewbers1s,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,surface,1,ERS,Assembly,3,ewbers1s,2,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,surface,1,ERS,Assembly,3,ewbers1s,3,plug 3x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,surface,1,ERS,Assembly,3,ewbers1s,4,plug power cord 3 wires to exit wires & screw to housing with plastic clamp,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,1,ERS,Assembly,3,ewbers1s,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,1,ERS,Assembly,3,ewbers1s,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,1,ERS,Assembly,3,ewbers1s,3,plug 3x pc252 connectors for continius row wires,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,1,ERS,Assembly,3,ewbers1s,4,plug power cord 3 wires to exit wires & screw to housing with plastic clamp,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,1,ERS,Assembly,3,ewbers1s,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,1,ERS,Assembly,3,ewbers1s,2,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,1,ERS,Assembly,3,ewbers1s,3,plug 3x pc252 connectors for continius row wires,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,1,ERS,Assembly,3,ewbers1s,4,plug power cord 3 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,1,ERS,Assembly,3,ewbers1s,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,1,ERS,Assembly,3,ewbers1s,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,1,ERS,Assembly,3,ewbers1s,3,plug 3x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,1,ERS,Assembly,3,ewbers1s,4,plug power cord 3 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,surface,2,ERS,Assembly,3,ewbers2s,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,surface,2,ERS,Assembly,3,ewbers2s,2,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,surface,2,ERS,Assembly,3,ewbers2s,3,plug 4x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
