 Section , Fixture Type , Circuit , Kind Of Ballast/Driver , Work Center , Wires Qty , Option , ID , Task , Time (min) ,,Sum of Time (min),Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,recessed,2,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0,,D,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.3,0.3,
Complete Section,recessed,2,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0,,E,,,,,,,,,,,,,,,,,,,,,0.15,,,,0.15,0.15,
SR1,recessed,2,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0.15,,ERS,,,,,,,,,,,,,,,,,,,,,0.15,,,,0.15,0.15,
SR1,recessed,2,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0,,BI,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.3,0.3,
SR1,recessed,2,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0.1,,LT,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,
SR1,recessed,2,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0.24,,DP,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.3,0.3,
SRM,recessed,2,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0,,2A/B,13.02,6.51,7.62,12.16,39.31,0.8,5.55,6.42,10,22.77,3.52,1.76,2,3.36,10.64,10.3,10.3,12.04,18.8,51.44,0.6,0.6,0.6,0.6,2.4,126.56,
SRM,recessed,2,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0,,pendant,4.24,2.12,2.47,2.82,11.65,0.2,1.88,2.17,2.46,6.71,0.88,0.44,0.5,0.56,2.38,3.56,3.56,4.14,4.72,15.98,,,,,,36.72,
SRM,recessed,2,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0.2,,D,,,2.47,,2.47,,,2.17,,2.17,,,0.5,,0.5,,,4.14,,4.14,,,,,,9.28,
SRM,recessed,2,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0.24,,E,2.12,,,,2.12,0.1,,,,0.1,0.44,,,,0.44,1.78,,,,1.78,,,,,,4.44,
