Product ID,Lighting,Fixture Type,Option,Work Center,ID,Task,Time(min),,,,Sum of Time(min),Column Labels,,,
BBDLEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,B6DLED,,0.5,,0.5
BBDPAT,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,B6DLEDPAT,,0.5,,0.5
BBI,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,B6DPAT,,0.88,,0.88
BBILED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,B6I,,0.88,,0.88
BBILED2,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,B6ILED,,0.5,,0.5
BBILEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,B6ILEDPAT,,0.5,,0.5
BBIPAT,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,B6IPAT,,0.88,,0.88
BBLED2,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,B6LEDPAT,,0.5,,0.5
BBLEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,B6PAT,,0.88,,0.88
BBPAT,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,B6R,,,0.6,0.6
BBS,fluorescent,surface,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,B6RLED,,,0.32,0.32
BBSLED,led,surface,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,B6RLEDPAT,,,0.32,0.32
BBSLEDPAT,led,surface,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,B6RPAT,,,0.6,0.6
BBSPAT,fluorescent,surface,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,B6RV,,,0.6,0.6
BBW,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,B6RVLED,,,0.32,0.32
BBWD,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,B6S,,0.88,,0.88
BBWDILED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,B6SLED,,0.5,,0.5
BBWDLED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,B6SLEDPAT,,0.5,,0.5
BBWDLEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,B6SPAT,,0.88,,0.88
BBWDPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,B6W,,0.88,,0.88
