 Product ID , Work Center , Length , ID , Activity , Total time (min) ,,,Sum of Total time (min),Column Labels,,,,,,,,,,
SL2LLED,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
SL2LLED,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
SLLED,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
SLLED,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
SLLED,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
SLW,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
SLW,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
SLW,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
SLWLED,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
SLWLED,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
SLWLED,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
SU,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
SU,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
SU,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
SUA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
SUA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
SUA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
SUS,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
SUS,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
SUS,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
SUW,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
SUW,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
SUW,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
SUWA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
SUWA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
SUWA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
TWC,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
TWC,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
TWC,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
TWCW,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
TWCW,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
TWCW,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
TWO,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
TWO,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
TWO,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
TWOW,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
TWOW,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
TWOW,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
TWR,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
TWR,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
TWR,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
TWRLED,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
TWRLED,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
TWRLED,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
TWRW,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
TWRW,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
TWRW,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
TWRWLED,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
TWRWLED,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
TWRWLED,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
B3RLED,Assembly,4,1,"UL,CRF,Qc,Ax1",0.45,,,,,,,,,,,,,,
B3RLED,Assembly,8,1,"UL,CRF,Qc,Ax1",0.45,,,,,,,,,,,,,,
B3RLED,Assembly,12,1,"UL,CRF,Qc,Ax1",0.45,,,,,,,,,,,,,,
B3RLED,Assembly,4,2,Standard inspection,1,,,,,,,,,,,,,,
B3RLED,Assembly,8,2,Standard inspection,1,,,,,,,,,,,,,,
B3RLED,Assembly,12,2,Standard inspection,1,,,,,,,,,,,,,,
SKFLED,Sub-Assembly,22,,Complete installation,7.5,,,,,,,,,,,,,,
CUBLED,Sub-Assembly,4,1,suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
CUBLED,Assembly,8,1,suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
CUBLED,Assembly,12,1,suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
CUBWLED,Sub-Assembly,4,1,suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
CUBWLED,Assembly,8,1,suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
CUBWLED,Assembly,12,1,suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
LTLED,Sub-Assembly,4,1,suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
LTLED,Assembly,8,1,suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
LTLED,Assembly,12,1,suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
LTWLED,Sub-Assembly,4,1,suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
LTWLED,Assembly,8,1,suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
LTWLED,Assembly,12,1,suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
CUBLED,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
CUBLED,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
CUBLED,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
CUBLED,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
CUBLED,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
CUBLED,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
CUBWLED,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
CUBWLED,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
CUBWLED,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
CUBWLED,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
CUBWLED,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
CUBWLED,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
