 Product ID , Work Center , Length , ID , Activity , Total time (min) ,,,Sum of Total time (min),Column Labels,,,,,,,,,,
CU,Assembly,4,2,try up light reflector,0.17,,,Preparation,2,4,6,,,,,,,,12
CU,Assembly,4,3,try down light reflector,0.17,,,RAY8,2,4,6,,,,,,,,12
CU,Assembly,8,2,try up light reflector,0.25,,,Preparation,2,4,6,,,,,,,,12
CU,Assembly,8,3,try down light reflector,0.25,,,RAY8P,2,4,6,,,,,,,,12
CU,Assembly,12,2,try up light reflector,0.33,,,Preparation,2,4,6,,,,,,,,12
CU,Assembly,12,3,try down light reflector,0.33,,,RAY8S,2,4,6,,,,,,,,12
CUA,Assembly,4,2,try up light reflector,0.17,,,Preparation,2,4,6,,,,,,,,12
CUA,Assembly,4,3,try down light reflector,0.17,,,RAY8W,2,4,6,,,,,,,,12
CUA,Assembly,8,2,try up light reflector,0.25,,,Preparation,2,4,6,,,,,,,,12
CUA,Assembly,8,3,try down light reflector,0.25,,,SK,,,,7.5,7.5,7.5,7.5,7.5,7.5,,45
CUA,Assembly,12,2,try up light reflector,0.33,,,Preparation,,,,7.5,7.5,7.5,7.5,7.5,7.5,,45
CUA,Assembly,12,3,try down light reflector,0.33,,,SL,4.34,8.5,12.66,,,,,,,,25.5
CUB,Assembly,4,2,try up light reflector,0.17,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUB,Assembly,4,3,try down light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
CUB,Assembly,8,2,try up light reflector,0.25,,,SL2HLED,4.34,8.5,12.66,,,,,,,,25.5
CUB,Assembly,8,3,try down light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUB,Assembly,12,2,try up light reflector,0.33,,,Preparation,4,8,12,,,,,,,,24
CUB,Assembly,12,3,try down light reflector,0.33,,,SL2LLED,4.34,8.5,12.66,,,,,,,,25.5
CUBA,Assembly,4,2,try up light reflector,0.17,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUBA,Assembly,4,3,try down light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
CUBA,Assembly,8,2,try up light reflector,0.25,,,SLLED,4.34,8.5,12.66,,,,,,,,25.5
CUBA,Assembly,8,3,try down light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUBA,Assembly,12,2,try up light reflector,0.33,,,Preparation,4,8,12,,,,,,,,24
CUBA,Assembly,12,3,try down light reflector,0.33,,,SLW,4.34,8.5,12.66,,,,,,,,25.5
CUBS,Assembly,4,2,try up light reflector,0.17,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUBS,Assembly,4,3,try down light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
CUBS,Assembly,8,2,try up light reflector,0.25,,,SLWLED,4.34,8.5,12.66,,,,,,,,25.5
CUBS,Assembly,8,3,try down light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUBS,Assembly,12,2,try up light reflector,0.33,,,Preparation,4,8,12,,,,,,,,24
CUBS,Assembly,12,3,try down light reflector,0.33,,,SU,4.34,8.5,12.66,,,,,,,,25.5
CUBW,Assembly,4,2,try up light reflector,0.17,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUBW,Assembly,4,3,try down light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
CUBW,Assembly,8,2,try up light reflector,0.25,,,SUA,4.34,8.5,12.66,,,,,,,,25.5
CUBW,Assembly,8,3,try down light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUBW,Assembly,12,2,try up light reflector,0.33,,,Preparation,4,8,12,,,,,,,,24
CUBW,Assembly,12,3,try down light reflector,0.33,,,SUS,4.34,8.5,12.66,,,,,,,,25.5
CUBWA,Assembly,4,2,try up light reflector,0.17,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUBWA,Assembly,4,3,try down light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
CUBWA,Assembly,8,2,try up light reflector,0.25,,,SUW,4.34,8.5,12.66,,,,,,,,25.5
CUBWA,Assembly,8,3,try down light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUBWA,Assembly,12,2,try up light reflector,0.33,,,Preparation,4,8,12,,,,,,,,24
CUBWA,Assembly,12,3,try down light reflector,0.33,,,SUWA,4.34,8.5,12.66,,,,,,,,25.5
CUS,Assembly,4,2,try up light reflector,0.17,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUS,Assembly,4,3,try down light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
CUS,Assembly,8,2,try up light reflector,0.25,,,TWC,4.34,8.5,12.66,,,,,,,,25.5
CUS,Assembly,8,3,try down light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUS,Assembly,12,2,try up light reflector,0.33,,,Preparation,4,8,12,,,,,,,,24
CUS,Assembly,12,3,try down light reflector,0.33,,,TWCW,4.34,8.5,12.66,,,,,,,,25.5
CUW,Assembly,4,2,try up light reflector,0.17,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUW,Assembly,4,3,try down light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
CUW,Assembly,8,2,try up light reflector,0.25,,,TWO,4.34,8.5,12.66,,,,,,,,25.5
CUW,Assembly,8,3,try down light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUW,Assembly,12,2,try up light reflector,0.33,,,Preparation,4,8,12,,,,,,,,24
CUW,Assembly,12,3,try down light reflector,0.33,,,TWOW,4.34,8.5,12.66,,,,,,,,25.5
CUWA,Assembly,4,2,try up light reflector,0.17,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUWA,Assembly,4,3,try down light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
CUWA,Assembly,8,2,try up light reflector,0.25,,,TWR,4.34,8.5,12.66,,,,,,,,25.5
CUWA,Assembly,8,3,try down light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUWA,Assembly,12,2,try up light reflector,0.33,,,Preparation,4,8,12,,,,,,,,24
CUWA,Assembly,12,3,try down light reflector,0.33,,,TWRLED,4.34,8.5,12.66,,,,,,,,25.5
L2,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
L2A,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
L2A,Assembly,4,3,try down light reflector,0.17,,,TWRW,4.34,8.5,12.66,,,,,,,,25.5
L2A,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
