 Product ID , Option , Section Type , Work Center , Task , Qty , Time (min) , Total Time (min) ,, Sum of Total Time (min) , Column Labels ,,,,,
BB,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.62,0.50,1.12,,,
BBD,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.62,0.50,1.12,,,
BBD,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.24,1.00,2.24,,,
BBD,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, B6DPAT ,3.72,3.00,6.72,,,
BBD,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,1.24,1.00,2.24,,,
BBDILED,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.62,0.50,1.12,,,
BBDILED,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.62,0.50,1.12,,,
BBDILED,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,1.24,1.00,2.24,,,
BBDILED,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, B6I ,3.72,3.00,6.72,,,
BBDILEDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,1.24,1.00,2.24,,,
BBDILEDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.62,0.50,1.12,,,
BBDILEDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.62,0.50,1.12,,,
BBDILEDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,1.24,1.00,2.24,,,
BBDLED,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, B6ILED ,3.72,3.00,6.72,,,
BBDLED,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,1.24,1.00,2.24,,,
BBDLED,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.62,0.50,1.12,,,
BBDLED,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.62,0.50,1.12,,,
BBDLEDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.24,1.00,2.24,,,
BBDLEDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, B6ILEDPAT ,3.72,3.00,6.72,,,
BBDLEDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,1.24,1.00,2.24,,,
BBDLEDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.62,0.50,1.12,,,
BBDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.62,0.50,1.12,,,
BBDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.24,1.00,2.24,,,
BBDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, B6IPAT ,3.72,3.00,6.72,,,
BBDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,1.24,1.00,2.24,,,
BBI,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.62,0.50,1.12,,,
BBI,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.62,0.50,1.12,,,
BBI,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,1.24,1.00,2.24,,,
BBI,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, B6LEDPAT ,3.72,3.00,6.72,,,
BBILED,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,1.24,1.00,2.24,,,
BBILED,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.62,0.50,1.12,,,
BBILED,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.62,0.50,1.12,,,
BBILED,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,1.24,1.00,2.24,,,
BBILED2,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, B6PAT ,3.72,3.00,6.72,,,
BBILED2,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,1.24,1.00,2.24,,,
BBILED2,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.62,0.50,1.12,,,
BBILED2,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.62,0.50,1.12,,,
BBILEDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.24,1.00,2.24,,,
BBILEDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, BAS ,3.90,3.00,6.90,,,
BBILEDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,1.30,1.00,2.30,,,
BBILEDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.65,0.50,1.15,,,
BBIPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.65,0.50,1.15,,,
BBIPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.30,1.00,2.30,,,
BBIPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, BASA ,3.90,3.00,6.90,,,
BBIPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,1.30,1.00,2.30,,,
BBLED2,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.65,0.50,1.15,,,
BBLED2,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.65,0.50,1.15,,,
BBLED2,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,1.30,1.00,2.30,,,
BBLED2,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, BB ,3.72,3.00,6.72,,,
BBLEDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,1.24,1.00,2.24,,,
BBLEDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.62,0.50,1.12,,,
BBLEDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.62,0.50,1.12,,,
BBLEDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,1.24,1.00,2.24,,,
BBPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, BBD ,3.72,3.00,6.72,,,
BBPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,1.24,1.00,2.24,,,
BBPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.62,0.50,1.12,,,
BBPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.62,0.50,1.12,,,
BD,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.24,1.00,2.24,,,
BD,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, BBDILED ,3.72,3.00,6.72,,,
BD,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,1.24,1.00,2.24,,,
BD,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.62,0.50,1.12,,,
BDI,ahunger7,Complete Section,Assembly,screwed sub-assy bracket on housing,2,0.25,0.5,, SRM ,0.62,0.50,1.12,,,
BDI,ahunger7,SR1,Assembly,screwed sub-assy bracket on housing,2,0.25,0.5,, Complete Section ,1.24,1.00,2.24,,,
BDI,ahunger7,SRE,Assembly,screwed sub-assy bracket on housing,1,0.25,0.25,, BBDILEDPAT ,3.72,3.00,6.72,,,
BDI,ahunger7,SRM,Assembly,screwed sub-assy bracket on housing,1,0.25,0.25,, SR1 ,1.24,1.00,2.24,,,
BDLED,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.62,0.50,1.12,,,
BDLED,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.62,0.50,1.12,,,
BDLED,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,1.24,1.00,2.24,,,
BDLED,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, BBDLED ,3.72,3.00,6.72,,,
BDLEDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,1.24,1.00,2.24,,,
BDLEDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.62,0.50,1.12,,,
BDLEDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.62,0.50,1.12,,,
BDLEDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,1.24,1.00,2.24,,,
BDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, BBDLEDPAT ,3.72,3.00,6.72,,,
BDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,1.24,1.00,2.24,,,
BDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.62,0.50,1.12,,,
BDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.62,0.50,1.12,,,
BI,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.24,1.00,2.24,,,
BI,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, BBDPAT ,3.72,3.00,6.72,,,
BI,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,1.24,1.00,2.24,,,
BI,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.62,0.50,1.12,,,
BILED,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.62,0.50,1.12,,,
BILED,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.24,1.00,2.24,,,
BILED,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, BBI ,3.72,3.00,6.72,,,
BILED,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,1.24,1.00,2.24,,,
BILEDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.62,0.50,1.12,,,
BILEDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.62,0.50,1.12,,,
BILEDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,1.24,1.00,2.24,,,
BILEDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, BBILED ,3.72,3.00,6.72,,,
BIPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,1.24,1.00,2.24,,,
BIPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.62,0.50,1.12,,,
BIPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.62,0.50,1.12,,,
BIPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,1.24,1.00,2.24,,,
BLEDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, BBILED2 ,3.72,3.00,6.72,,,
BLEDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,1.24,1.00,2.24,,,
BLEDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.62,0.50,1.12,,,
BLEDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.62,0.50,1.12,,,
BMD,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.24,1.00,2.24,,,
BMD,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, BBILEDPAT ,3.72,3.00,6.72,,,
BMD,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,1.24,1.00,2.24,,,
BMD,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.62,0.50,1.12,,,
BMDLED,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.62,0.50,1.12,,,
BMDLED,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.24,1.00,2.24,,,
BMDLED,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, BBIPAT ,3.72,3.00,6.72,,,
BMDLED,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,1.24,1.00,2.24,,,
BMDLEDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.62,0.50,1.12,,,
BMDLEDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.62,0.50,1.12,,,
