Cartridge/Board,Description,Work Center,Type,ID,Task,Qty,Unit Time,Total Time,,,,,,,
cartridge,direct,Subassembly LED,C1-10,1,Test,7,0.62,4.34,,,C1-3,,10.60438889,,10.60438889
cartridge,direct,Subassembly LED,C1-10,2,Screw board on cartridge 2ft,0,0.188666667,0,,,C1-4,,12.44866667,,12.44866667
cartridge,direct,Subassembly LED,C1-10,3,Screw board on cartridge 1ft,2,0.125777778,0.251555556,,,C1-5,,13.18294444,,13.18294444
cartridge,direct,Subassembly LED,C1-10,4,Screw board on cartridge 2'',5,0.062888889,0.314444444,,,C1-6,,9.085888889,,9.085888889
cartridge,direct,Subassembly LED,C1-10,5,Cut reflector,1,0.555,0.555,,,C1-7,,10.93016667,,10.93016667
cartridge,direct,Subassembly LED,C1-10,6,Plug 2 boards,6,0.13925,0.8355,,,C1-8,,12.77444444,,12.77444444
cartridge,direct,Subassembly LED,C1-10,7,Total of screw,9,0.1,0.9,,,C1-9,,14.61872222,,14.61872222
cartridge,direct,Subassembly LED,C1-10,8,Apply 2 type labels,1,0.2,0.2,,,C2-1,,7.241611111,,7.241611111
cartridge,direct,Subassembly LED,C1-10,9,Handling,1,0.28,0.28,,,C2-10,,14.89455556,,14.89455556
cartridge,direct,Subassembly LED,C1-11,1,Test,4,0.62,2.48,,,C2-2,,9.085888889,,9.085888889
cartridge,direct,Subassembly LED,C1-11,2,Screw board on cartridge 2ft,0,0.188666667,0,,,C2-3,,10.93016667,,10.93016667
cartridge,direct,Subassembly LED,C1-11,3,Screw board on cartridge 1ft,3,0.125777778,0.377333333,,,C2-4,,12.77444444,,12.77444444
cartridge,direct,Subassembly LED,C1-11,4,Screw board on cartridge 2'',1,0.062888889,0.062888889,,,C2-5,,13.50872222,,13.50872222
cartridge,direct,Subassembly LED,C1-11,5,Cut reflector,2,0.555,1.11,,,C2-6,,8.627444444,,8.627444444
cartridge,direct,Subassembly LED,C1-11,6,Plug 2 boards,3,0.13925,0.41775,,,C2-7,,10.47172222,,10.47172222
cartridge,direct,Subassembly LED,C1-11,7,Total of screw,7,0.1,0.7,,,C2-8,,12.316,,12.316
cartridge,direct,Subassembly LED,C1-11,8,Apply 2 type labels,1,0.2,0.2,,,C2-9,,14.16027778,,14.16027778
cartridge,direct,Subassembly LED,C1-11,9,Handling,1,0.28,0.28,,,C3-1,,7.567388889,,7.567388889
cartridge,direct,Subassembly LED,C1-12,1,Test,5,0.62,3.1,,,C3-10,,14.16027778,,14.16027778
cartridge,direct,Subassembly LED,C1-12,2,Screw board on cartridge 2ft,0,0.188666667,0,,,C3-11,,16.00455556,,16.00455556
cartridge,direct,Subassembly LED,C1-12,3,Screw board on cartridge 1ft,3,0.125777778,0.377333333,,,C3-12,,16.73883333,,16.73883333
cartridge,direct,Subassembly LED,C1-12,4,Screw board on cartridge 2'',2,0.062888889,0.125777778,,,C3-2,,9.411666667,,9.411666667
cartridge,direct,Subassembly LED,C1-12,5,Cut reflector,2,0.555,1.11,,,C3-3,,11.25594444,,11.25594444
cartridge,direct,Subassembly LED,C1-12,6,Plug 2 boards,4,0.13925,0.557,,,C3-4,,13.10022222,,13.10022222
cartridge,direct,Subassembly LED,C1-12,7,Total of screw,8,0.1,0.8,,,C3-5,,14.9445,,14.9445
cartridge,direct,Subassembly LED,C1-12,8,Apply 2 type labels,1,0.2,0.2,,,C3-6,,15.67877778,,15.67877778
cartridge,direct,Subassembly LED,C1-12,9,Handling,1,0.28,0.28,,,C3-7,,8.627444444,,8.627444444
cartridge,direct,Subassembly LED,C1-13,1,Test,6,0.62,3.72,,,C3-8,,10.47172222,,10.47172222
cartridge,direct,Subassembly LED,C1-13,2,Screw board on cartridge 2ft,0,0.188666667,0,,,C3-9,,12.316,,12.316
cartridge,direct,Subassembly LED,C1-13,3,Screw board on cartridge 1ft,3,0.125777778,0.377333333,,,C4-1,,3.961555556,,3.961555556
cartridge,direct,Subassembly LED,C1-13,4,Screw board on cartridge 2'',3,0.062888889,0.188666667,,,C4-2,,6.131611111,,6.131611111
cartridge,direct,Subassembly LED,C1-13,5,Cut reflector,2,0.555,1.11,,,C4-3,,7.191666667,,7.191666667
cartridge,direct,Subassembly LED,C1-13,6,Plug 2 boards,5,0.13925,0.69625,,,C5-1,,4.287333333,,4.287333333
cartridge,direct,Subassembly LED,C1-13,7,Total of screw,9,0.1,0.9,,,C5-2,,5.673166667,,5.673166667
cartridge,direct,Subassembly LED,C1-13,8,Apply 2 type labels,1,0.2,0.2,,,C6-1,,4.287333333,,4.287333333
cartridge,direct,Subassembly LED,C1-13,9,Handling,1,0.28,0.28,,,C6-2,,5.673166667,,5.673166667
cartridge,direct,Subassembly LED,C1-14,1,Test,7,0.62,4.34,,,C7-1,,5.347388889,,5.347388889
cartridge,direct,Subassembly LED,C1-14,2,Screw board on cartridge 2ft,0,0.188666667,0,,,C7-2,,7.517444444,,7.517444444
cartridge,direct,Subassembly LED,C1-14,3,Screw board on cartridge 1ft,3,0.125777778,0.377333333,,,indirect,,,,
cartridge,direct,Subassembly LED,C1-14,4,Screw board on cartridge 2'',4,0.062888889,0.251555556,,,4,2.08,,,2.08
cartridge,direct,Subassembly LED,C1-14,5,Cut reflector,2,0.555,1.11,,,8,2.6,,,2.6
cartridge,direct,Subassembly LED,C1-14,6,Plug 2 boards,6,0.13925,0.8355,,,12,3.16,,,3.16
cartridge,direct,Subassembly LED,C1-14,7,Total of screw,10,0.1,1,,,C1-1,,3.457916667,,3.457916667
cartridge,direct,Subassembly LED,C1-14,8,Apply 2 type labels,1,0.2,0.2,,,C1-10,,7.6765,,7.6765
