 Product ID , Lighting , Fixture Type , Mounting , Work Center , Section , Length , Option , ID , Task ,Time(min),,Sum of Time(min),Column Labels,,,,,,,
DAYF,fluorescent,Grid,TB15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,1.39,,,,,,,,,,
DAYC,fluorescent,Grid,TG15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYC,fluorescent,Grid,TG15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,5.73,,,,,,,,,,
DAYC,fluorescent,Grid,TG15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,3.42,,,,,,,,,,
DAYC,fluorescent,Grid,TG15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.32,,,,,,,,,,
DAYC,fluorescent,Grid,TG15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,1.39,,,,,,,,,,
DAYF,fluorescent,Grid,TG15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYF,fluorescent,Grid,TG15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,5.73,,,,,,,,,,
DAYF,fluorescent,Grid,TG15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,3.42,,,,,,,,,,
DAYF,fluorescent,Grid,TG15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.32,,,,,,,,,,
DAYF,fluorescent,Grid,TG15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,1.39,,,,,,,,,,
DAYC,fluorescent,Grid,SM,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYC,fluorescent,Grid,SM,Assembly,-,12,airreturngrid,1,Air return -assembly lines,5.73,,,,,,,,,,
DAYC,fluorescent,Grid,SM,Assembly,-,14,airreturngrid,1,Air return -assembly lines,3.42,,,,,,,,,,
DAYC,fluorescent,Grid,SM,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.32,,,,,,,,,,
DAYC,fluorescent,Grid,SM,Assembly,-,24,airreturngrid,1,Air return -assembly lines,1.39,,,,,,,,,,
DAYF,fluorescent,Grid,SM,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYF,fluorescent,Grid,SM,Assembly,-,12,airreturngrid,1,Air return -assembly lines,5.73,,,,,,,,,,
DAYF,fluorescent,Grid,SM,Assembly,-,14,airreturngrid,1,Air return -assembly lines,3.42,,,,,,,,,,
DAYF,fluorescent,Grid,SM,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.32,,,,,,,,,,
DAYF,fluorescent,Grid,SM,Assembly,-,24,airreturngrid,1,Air return -assembly lines,1.39,,,,,,,,,,
DAYC,fluorescent,Grid,ST,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYC,fluorescent,Grid,ST,Assembly,-,12,airreturngrid,1,Air return -assembly lines,5.73,,,,,,,,,,
DAYC,fluorescent,Grid,ST,Assembly,-,14,airreturngrid,1,Air return -assembly lines,3.42,,,,,,,,,,
DAYC,fluorescent,Grid,ST,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.32,,,,,,,,,,
DAYC,fluorescent,Grid,ST,Assembly,-,24,airreturngrid,1,Air return -assembly lines,1.39,,,,,,,,,,
