 Product ID , Work Center , Option , Task , Time(min) ,, Sum of Time(min) , Column Labels ,,,,
 B6ILEDPAT , Drilling , subendc6 , Set-up ,5.00,, BSLED ,,0.00,,,0.00
 B6LEDPAT , Drilling , subendc6 , Set-up ,5.00,, BSLEDPAT ,,0.00,,,0.00
 BBDILED , Drilling , subendc6 , Set-up ,5.00,, BSPAT ,,0.00,,,0.00
 BBDILEDPAT , Drilling , subendc6 , Set-up ,5.00,, BWD ,,0.00,,,0.00
 BBDLED , Drilling , subendc6 , Set-up ,5.00,, BWDLED ,,0.00,,,0.00
 BBDLEDPAT , Drilling , subendc6 , Set-up ,5.00,, BWDLEDPAT ,,0.00,,,0.00
 BBILED , Drilling , subendc6 , Set-up ,5.00,, BWDPAT ,,0.00,,,0.00
 BBILED2 , Drilling , subendc6 , Set-up ,5.00,, BWI ,,0.00,,,0.00
 BBILEDPAT , Drilling , subendc6 , Set-up ,5.00,, BWILED ,,0.00,,,0.00
 BBLED2 , Drilling , subendc6 , Set-up ,5.00,, BWILEDPAT ,,0.00,,,0.00
 BBLEDPAT , Drilling , subendc6 , Set-up ,5.00,, BWIPAT ,,0.00,,,0.00
 BDLED , Drilling , subendc6 , Set-up ,5.00,, BWLEDPAT ,,0.00,,,0.00
 BDLEDPAT , Drilling , subendc6 , Set-up ,5.00,, BWPAT ,,0.00,,,0.00
 BILED , Drilling , subendc6 , Set-up ,5.00,, BWV ,,0.00,,,0.00
 BILEDPAT , Drilling , subendc6 , Set-up ,5.00,, BWVLED ,,0.00,,,0.00
 BLEDPAT , Drilling , subendc6 , Set-up ,5.00,, CU ,5.00,,,,5.00
 BMDLED , Drilling , subendc6 , Set-up ,5.00,, CUA ,5.00,,,,5.00
 BMDLEDPAT , Drilling , subendc6 , Set-up ,5.00,, CUB ,5.00,,,,5.00
 BMILED , Drilling , subendc6 , Set-up ,5.00,, CUBA ,5.00,,,,5.00
 BMILEDPAT , Drilling , subendc6 , Set-up ,5.00,, CUBS ,5.00,,,,5.00
 BMLEDPAT , Drilling , subendc6 , Set-up ,5.00,, CUBW ,,,,3.00,3.00
 AR , Subassembly , subendc7 , Set-up ,0.00,, CUBWA ,,,,3.00,3.00
 ARLED , Subassembly , subendc7 , Set-up ,0.00,, CUS ,5.00,,,,5.00
 ARS , Subassembly , subendc7 , Set-up ,0.00,, CUW ,,,,3.00,3.00
 ARSLED , Subassembly , subendc7 , Set-up ,0.00,, CUWA ,,,,3.00,3.00
 ARW , Subassembly , subendc7 , Set-up ,0.00,, D5 ,3.00,1.00,5.00,,9.00
 ARWBT , Subassembly , subendc7 , Set-up ,0.00,, D5S ,3.00,1.00,5.00,,9.00
 ARWBTLED , Subassembly , subendc7 , Set-up ,0.00,, D5W ,3.00,1.00,5.00,,9.00
 ARWLED , Subassembly , subendc7 , Set-up ,0.00,, FL ,5.00,,,,5.00
 MB , Subassembly , subendc7 , Set-up ,0.00,, FLW ,,,,3.00,3.00
 MBLED , Subassembly , subendc7 , Set-up ,0.00,, L2 ,5.00,,,,5.00
 MBS , Subassembly , subendc7 , Set-up ,0.00,, L2A ,5.00,,,,5.00
 MBSLED , Subassembly , subendc7 , Set-up ,0.00,, L2S ,5.00,,,,5.00
 MBW , Subassembly , subendc7 , Set-up ,0.00,, L2W ,,,,3.00,3.00
 MBWLED , Subassembly , subendc7 , Set-up ,0.00,, L2WA ,,,,3.00,3.00
 MBWV , Subassembly , subendc7 , Set-up ,0.00,, LT ,5.00,,,,5.00
 MBWVLED , Subassembly , subendc7 , Set-up ,0.00,, LTA ,5.00,,,,5.00
 PR , Subassembly , subendc7 , Set-up ,0.00,, LTW ,,,,3.00,3.00
 PRLED , Subassembly , subendc7 , Set-up ,0.00,, LTWA ,,,,3.00,3.00
 PRS , Subassembly , subendc7 , Set-up ,0.00,, MB ,,0.00,,,0.00
 PRSLED , Subassembly , subendc7 , Set-up ,0.00,, MBLED ,,0.00,,,0.00
 PRW , Subassembly , subendc7 , Set-up ,0.00,, MBS ,,0.00,,,0.00
 PRWLED , Subassembly , subendc7 , Set-up ,0.00,, MBSLED ,,0.00,,,0.00
 PW , Subassembly , subendc7 , Set-up ,0.00,, MBW ,,0.00,,,0.00
 PWLED , Subassembly , subendc7 , Set-up ,0.00,, MBWLED ,,0.00,,,0.00
 PWS , Subassembly , subendc7 , Set-up ,0.00,, MBWV ,,0.00,,,0.00
 PWSLED , Subassembly , subendc7 , Set-up ,0.00,, MBWVLED ,,0.00,,,0.00
 PWW , Subassembly , subendc7 , Set-up ,0.00,, PICR ,,1.00,,,1.00
 PWWLED , Subassembly , subendc7 , Set-up ,0.00,, PICWR ,,1.00,,,1.00
 101C , Drilling , subendc8 , Set-up ,5.00,, PMRLED ,,1.00,,,1.00
 101CA , Drilling , subendc8 , Set-up ,5.00,, PMWR ,,1.00,,,1.00
 101CS , Drilling , subendc8 , Set-up ,5.00,, PR ,,0.00,,,0.00
 101F , Drilling , subendc8 , Set-up ,5.00,, PRLED ,,0.00,,,0.00
 101FA , Drilling , subendc8 , Set-up ,5.00,, PRS ,,0.00,,,0.00
 202C , Drilling , subendc8 , Set-up ,5.00,, PRSLED ,,0.00,,,0.00
 202CA , Drilling , subendc8 , Set-up ,5.00,, PRW ,,0.00,,,0.00
 202CS , Drilling , subendc8 , Set-up ,5.00,, PRWLED ,,0.00,,,0.00
 202F , Drilling , subendc8 , Set-up ,5.00,, PW ,,0.00,,,0.00
 202FA , Drilling , subendc8 , Set-up ,5.00,, PWLED ,,0.00,,,0.00
 ARC , Drilling , subendc8 , Set-up ,5.00,, PWS ,,0.00,,,0.00
 ARCA , Drilling , subendc8 , Set-up ,5.00,, PWSLED ,,0.00,,,0.00
 BAS , Drilling , subendc8 , Set-up ,5.00,, PWW ,,0.00,,,0.00
 BASA , Drilling , subendc8 , Set-up ,5.00,, PWWLED ,,0.00,,,0.00
 BASS , Drilling , subendc8 , Set-up ,5.00,, SL ,5.00,,,,5.00
 CU , Drilling , subendc8 , Set-up ,5.00,, SL2HLED ,5.00,,,,5.00
 CUA , Drilling , subendc8 , Set-up ,5.00,, SL2LLED ,5.00,,,,5.00
 CUB , Drilling , subendc8 , Set-up ,5.00,, SLLED ,5.00,,,,5.00
 CUBA , Drilling , subendc8 , Set-up ,5.00,, SLW ,,,,3.00,3.00
 CUBS , Drilling , subendc8 , Set-up ,5.00,, SLWLED ,,,,3.00,3.00
 CUS , Drilling , subendc8 , Set-up ,5.00,, SOL ,5.00,,,,5.00
 FL , Drilling , subendc8 , Set-up ,5.00,, SOLS ,5.00,,,,5.00
 L2 , Drilling , subendc8 , Set-up ,5.00,, SOLW ,,,,3.00,3.00
 L2A , Drilling , subendc8 , Set-up ,5.00,, SU ,5.00,,,,5.00
 L2S , Drilling , subendc8 , Set-up ,5.00,, SUA ,5.00,,,,5.00
 LT , Drilling , subendc8 , Set-up ,5.00,, SUS ,5.00,,,,5.00
 LTA , Drilling , subendc8 , Set-up ,5.00,, SUW ,,,,3.00,3.00
 SL , Drilling , subendc8 , Set-up ,5.00,, SUWA ,,,,3.00,3.00
 SL2HLED , Drilling , subendc8 , Set-up ,5.00,, TB ,,0.00,,,0.00
 SL2LLED , Drilling , subendc8 , Set-up ,5.00,, TBDILED ,,0.00,,,0.00
 SLLED , Drilling , subendc8 , Set-up ,5.00,, TBDILEDPAT ,,0.00,,,0.00
 SOL , Drilling , subendc8 , Set-up ,5.00,, TBDLED ,,0.00,,,0.00
 SOLS , Drilling , subendc8 , Set-up ,5.00,, TBDLEDPAT ,,0.00,,,0.00
 SU , Drilling , subendc8 , Set-up ,5.00,, TBDPAT ,,0.00,,,0.00
 SUA , Drilling , subendc8 , Set-up ,5.00,, TBILED ,,0.00,,,0.00
