 Section , Fixture Type , Circuit , Kind Of Ballast/Driver , Work Center , Wires Qty , Option , ID , Task , Time (min) 
SR1,recessed,2A/B,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0.1
SR1,recessed,2A/B,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0.24
SRM,recessed,2A/B,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0
SRM,recessed,2A/B,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0
SRM,recessed,2A/B,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0.2
SRM,recessed,2A/B,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0.24
SRE,recessed,2A/B,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0
SRE,recessed,2A/B,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0.15
SRE,recessed,2A/B,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0.1
SRE,recessed,2A/B,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0
Complete Section,surface,1,BI,Assembly,4,ewdbi1s,1,bring exit wires to exit#1,0.15
Complete Section,surface,1,BI,Assembly,4,ewdbi1s,2,bring power wires for continious row,0
Complete Section,surface,1,BI,Assembly,4,ewdbi1s,3,plug 4x pc252 connectors for continius row wires,0
Complete Section,surface,1,BI,Assembly,4,ewdbi1s,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46
SR1,surface,1,BI,Assembly,4,ewdbi1s,1,bring exit wires to exit#1,0.15
SR1,surface,1,BI,Assembly,4,ewdbi1s,2,bring power wires for continious row,0.1
SR1,surface,1,BI,Assembly,4,ewdbi1s,3,plug 4x pc252 connectors for continius row wires,0.24
SR1,surface,1,BI,Assembly,4,ewdbi1s,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46
SRM,surface,1,BI,Assembly,4,ewdbi1s,1,bring exit wires to exit#1,0
SRM,surface,1,BI,Assembly,4,ewdbi1s,2,bring power wires for continious row,0.2
SRM,surface,1,BI,Assembly,4,ewdbi1s,3,plug 4x pc252 connectors for continius row wires,0.24
SRM,surface,1,BI,Assembly,4,ewdbi1s,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0
SRE,surface,1,BI,Assembly,4,ewdbi1s,1,bring exit wires to exit#1,0
SRE,surface,1,BI,Assembly,4,ewdbi1s,2,bring power wires for continious row,0.1
SRE,surface,1,BI,Assembly,4,ewdbi1s,3,plug 4x pc252 connectors for continius row wires,0
SRE,surface,1,BI,Assembly,4,ewdbi1s,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0
Complete Section,surface,2,BI,Assembly,4,ewdbi2s,1,bring exit wires to exit#1,0.15
Complete Section,surface,2,BI,Assembly,4,ewdbi2s,2,bring exit wires to exit#2,0.15
Complete Section,surface,2,BI,Assembly,4,ewdbi2s,3,bring power wires for continious row,0
Complete Section,surface,2,BI,Assembly,4,ewdbi2s,4,plug 4x pc252 connectors for continius row wires,0
Complete Section,surface,2,BI,Assembly,4,ewdbi2s,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,2.92
SR1,surface,2,BI,Assembly,4,ewdbi2s,1,bring exit wires to exit#1,0.15
SR1,surface,2,BI,Assembly,4,ewdbi2s,2,bring exit wires to exit#2,0
SR1,surface,2,BI,Assembly,4,ewdbi2s,3,bring power wires for continious row,0.1
SR1,surface,2,BI,Assembly,4,ewdbi2s,4,plug 4x pc252 connectors for continius row wires,0.24
SR1,surface,2,BI,Assembly,4,ewdbi2s,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46
SRM,surface,2,BI,Assembly,4,ewdbi2s,1,bring exit wires to exit#1,0
SRM,surface,2,BI,Assembly,4,ewdbi2s,2,bring exit wires to exit#2,0
SRM,surface,2,BI,Assembly,4,ewdbi2s,3,bring power wires for continious row,0.2
SRM,surface,2,BI,Assembly,4,ewdbi2s,4,plug 4x pc252 connectors for continius row wires,0.24
SRM,surface,2,BI,Assembly,4,ewdbi2s,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0
SRE,surface,2,BI,Assembly,4,ewdbi2s,1,bring exit wires to exit#1,0
SRE,surface,2,BI,Assembly,4,ewdbi2s,2,bring exit wires to exit#2,0.15
SRE,surface,2,BI,Assembly,4,ewdbi2s,3,bring power wires for continious row,0.1
SRE,surface,2,BI,Assembly,4,ewdbi2s,4,plug 4x pc252 connectors for continius row wires,0
SRE,surface,2,BI,Assembly,4,ewdbi2s,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46
Complete Section,surface,2A/B,BI,Assembly,4,ewdbi2s,1,bring exit wires to exit#1,0.15
Complete Section,surface,2A/B,BI,Assembly,4,ewdbi2s,2,bring exit wires to exit#2,0.15
Complete Section,surface,2A/B,BI,Assembly,4,ewdbi2s,3,bring power wires for continious row,0
Complete Section,surface,2A/B,BI,Assembly,4,ewdbi2s,4,plug 4x pc252 connectors for continius row wires,0
Complete Section,surface,2A/B,BI,Assembly,4,ewdbi2s,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,2.92
SR1,surface,2A/B,BI,Assembly,4,ewdbi2s,1,bring exit wires to exit#1,0.15
SR1,surface,2A/B,BI,Assembly,4,ewdbi2s,2,bring exit wires to exit#2,0
SR1,surface,2A/B,BI,Assembly,4,ewdbi2s,3,bring power wires for continious row,0.1
SR1,surface,2A/B,BI,Assembly,4,ewdbi2s,4,plug 4x pc252 connectors for continius row wires,0.24
SR1,surface,2A/B,BI,Assembly,4,ewdbi2s,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46
SRM,surface,2A/B,BI,Assembly,4,ewdbi2s,1,bring exit wires to exit#1,0
SRM,surface,2A/B,BI,Assembly,4,ewdbi2s,2,bring exit wires to exit#2,0
SRM,surface,2A/B,BI,Assembly,4,ewdbi2s,3,bring power wires for continious row,0.2
SRM,surface,2A/B,BI,Assembly,4,ewdbi2s,4,plug 4x pc252 connectors for continius row wires,0.24
SRM,surface,2A/B,BI,Assembly,4,ewdbi2s,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0
SRE,surface,2A/B,BI,Assembly,4,ewdbi2s,1,bring exit wires to exit#1,0
SRE,surface,2A/B,BI,Assembly,4,ewdbi2s,2,bring exit wires to exit#2,0.15
